Segment ID,Name
000,General Operations
005,Board of Directors
010,President/CEO
015,Justice Equity Diversity Inclusion
020,VP Fin & Admin/CFO
025,Investments
030,Accounting
040,Communications
045,Grassroots & Groundwork
050,Human Resources
060,Information Technology
070,Office Management
100,Ventures
200,Connections
300,Horizons
600,Programs
998,Capital Projects
999,CEO Approval
